measured log solubility in mols per litre,molecules
1.34,CNN
-2.64,C1CCCC1
-0.4,C=C
1.07,O=C1CCCN1
-8.402000000000001,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1
-1.59,CC(C)Br
-6.0,c1ccc2c(c1)-c1cccc3cccc-2c13
-1.0,CI
-4.21,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(=O)CC21C
-3.4930000000000003,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1
-3.36,CCN1c2nc(N(C)CCO)ccc2NC(=O)c2cccnc21
-1.95,Nc1ncnc2c1ccn2C1OC(CO)C(O)C1O
-4.16,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O
-1.11,COc1ncnc2nccnc12
-3.36,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O
-7.32,Clc1cc(Cl)c(-c2c(Cl)cccc2Cl)c(Cl)c1
-2.92,c1ccc(NNc2ccccc2)cc1
-5.696000000000001,CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl
-2.369,C=CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
-5.282,CC12CCC3C(=CCc4cc(O)ccc43)C1CCC2=O
-2.338,CC1(C)CON(Cc2ccccc2Cl)C1=O
-0.18,CC(C)C(C)O
-7.42,Clc1ccc(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1
-3.63,CCCCCCCCCCO
-4.706,CCN1c2ccccc2N(C)C(=S)c2cccnc21
-7.15,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1
0.02,c1cnc2ncncc2n1
-3.952,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O
-4.47,CC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O
-5.64,ClC1=C(Cl)C2(Cl)C3CC=CC3C1(Cl)C2(Cl)Cl
-0.8,CCCC(O)CC
-1.62,CCCOCCC
-2.7,O=C1C=C2CC3(O)COc4c(ccc(O)c4O)C3=C2C=C1O
-3.03,C=C(C)CCC
-2.09,C=CCC=C
-0.88,OC1CCCCCC1
-2.54,ClC(Cl)=C(Cl)Cl
-0.49,CCCOC=O
-0.364,Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C
-5.89,Cc1c2ccccc2cc2ccccc12
-5.46,OC1C=CC2C1C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl
-5.666,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl
-0.624,Cc1c(N)c(=O)n(-c2ccccc2)n1C
-2.478,COc1nc(NC(C)C)nc(NC(C)C)n1
-1.01,CC(C)COC=O
0.54,COP(=O)(NC(C)=O)SC
-3.73,C=CCCCCC
-3.04,c1ccc2c(c1)CCC2
-3.67,ClC(Cl)(Cl)C(Cl)(Cl)Cl
-3.85,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C=O)C(C(=O)CO)CCC12
-1.77,O=C1CSC(=S)N1
-0.22,CC[N+](=O)[O-]
-4.17,CCc1cccc2ccccc12
-3.0210000000000004,COc1c2occc2c(OC)c2c(=O)cc(C)oc12
-7.2,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1
-4.93,CC(C)OC(=O)C(O)(c1ccc(Br)cc1)c1ccc(Br)cc1
-1.16,C=CCC1(C)C(=O)NC(=O)NC1=O
-3.364,CN(C)c1nc(N(C)C)nc(N(C)C)n1
-4.89,CN(C)C(=O)Nc1ccc(Oc2ccc(Cl)cc2)cc1
1.58,CC(N)=O
-3.35,CCOP(=S)(OCC)N1C(=O)c2ccccc2C1=O
-4.4,Brc1ccc2ccccc2c1
-2.56,CC1=C(C(=O)Nc2ccccc2)CCCO1
-8.71,Clc1cc(Cl)c(-c2c(Cl)cc(Cl)cc2Cl)c(Cl)c1
-4.634,CCN1c2ncccc2C(=S)N(C)c2cccnc21
-3.35,CN(C(=O)NC(C)(C)c1ccccc1)c1ccccc1
-3.74,CCCC(C)C
-0.67,CCC(C)C(C)=O
-4.099,CC(=O)C1(O)CCC2C3CC(C)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C
-9.332,c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61
-1.25,O=C1NC(=O)C(=O)C(=O)N1
-3.685,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C
-1.28,CCCCCOC(=O)CC
-2.03,C=CC(=C)C
-1.16,c1ccc2ocnc2c1
-0.29,N#CCCCl
-0.24,CCC(O)CC
-2.54,C/C=C/CC
-8.6,Clc1cccc(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl
-0.5,CC(C)(C)CCO
-3.7,Cc1cccc2ccccc12
1.1,CCO
-0.4,O=C1NC(=O)C(=O)N1
-3.091,CCSCCSP(=S)(OC)OC
-0.59,C=CC(O)CCC
-5.17,Nc1ccc2cc3ccccc3cc2c1
-3.672,CN1C(=O)c2cccnc2Oc2ccccc21
-3.754,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21
-3.23,C=CCCCC
-7.96,CCCCCCCCCCCCCC
-4.8,C#CC1(OC(C)=O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C
-7.8,Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1
-0.82,c1ccoc1
-3.61,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1
-3.796,CN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21
-8.017000000000001,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1
-2.168,N#CC(Cl)(Cl)Cl
-5.153,CCN1c2cc(OC)cc(C)c2NC(=O)c2cccnc21
-1.64,C#CCCC
-2.09,CC(C)I
-4.735,CCOC(=O)c1cncn1C(C)c1ccccc1
-5.613,CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO
-2.6,ClC(Cl)C(Cl)(Cl)Cl
-8.94,Clc1ccc(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c1
-1.6,NC(=O)NC1NC(=O)NC1=O
-4.871,CCN1c2cc(N(C)C)cc(C)c2NC(=O)c2cccnc21
-8.49,c1ccc2cc3c(cc2c1)-c1cccc2cccc-3c12
-3.094,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1
0.58,CCC=O
-4.22,Nc1cccc2nc3ccccc3cc12
-3.817,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C
-6.57,Cc1c2ccccc2c(C)c2ccccc12
-1.21,CC(=O)OCC(C)C
-2.39,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
-2.86,CCN1C(=O)c2cccnc2N(CC)c2ncccc21
-4.0,CCCCCCCCl
-0.42,CCCCOCCO
0.43,CCOP(=O)(OCC)OCC
-3.04,FC(F)(Cl)C(F)(Cl)Cl
-4.37,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C
-8.804,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54
-1.57,CNC(=O)Oc1ccccc1C1OCCO1
0.6509999999999999,CNC(=O)C=C(C)OP(=O)(OC)OC
0.48,COCOC
-1.96,CCC(C)Cl
-1.85,CCCCOCCCC
-2.56,CC=C(C)C
-2.74,FC(F)(Cl)C(F)(F)Cl
-2.218,CN(C)C(=O)NC1CCCCCCC1
-0.31,N#CN=C(N)N
-1.37,CCCCOC=O
-4.65,CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C
-8.172,CCCCCCCCCCCCCCCCCCCC
-0.244,OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O
-3.88,COC(=O)Nc1nc2ccc(C(=O)c3ccccc3)cc2[nH]1
-7.25,Clc1ccc(Cl)c(-c2ccc(Cl)c(Cl)c2)c1
-2.84,O=c1oc2ccccc2c(O)c1C1CCCc2ccccc21
-1.24,CCCCCCO
-3.48,Oc1ccc(-c2ccccc2)cc1
-4.593999999999999,O=c1[nH]c2c(c(=O)n1C1CCCCC1)CCC2
-4.73,Oc1c2ccccc2cc2ccccc12
-1.899,COC1=C(OC)C2C(=O)OCC2C=C1
0.96,NC(N)=O
-3.451,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl
-3.68,CCN1C(=O)c2ccccc2Oc2ccccc21
-9.16,Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl
0.36,Cc1ccncc1C
-3.62,O=C1CC(c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21
-3.664,COc1c2occc2cc2ccc(=O)oc12
-4.883,CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc21
-2.8310000000000004,O=c1[nH]c2cc(Cl)ccc2o1
-0.28,CCC(=O)CC
-3.68,CCC(C)CC
-7.321000000000001,Cc1c(F)c(F)c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)c(F)c1F
-4.7,O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O
-0.4,O=C1CNC(=O)N1
-0.8540000000000001,Cc1cnc2cncnc2n1
-3.68,CC12C=CC(=O)C=C1CCC1C3CC(O)C(O)(C(=O)CO)C3(C)CC(O)C12F
-3.65,CC(C)C(C)C
-4.14,Clc1ccc2ccccc2c1
-3.14,BrC(Br)(Br)Br
-2.077,C=CCC1(CC=C)C(=O)NC(=O)NC1=O
-1.22,CC(C)C(O)C(C)C
-1.614,C=CCC1(CC)C(=O)NC(=O)NC1=O
-2.94,CCCCCCCCCC(C)O
0.61,NC(=O)c1cccnc1
-2.518,CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC
-1.11,CCCC(C)CO
-3.76,Clc1cccc(C(Cl)(Cl)Cl)n1
-1.228,CCC1(C)C(=O)NC(=O)NC1=O
-0.74,CC(=O)CC(C)C
-6.02,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)cc1
-4.26,CC(C)CC(C)C
-2.25,CCCCC(=O)OCC
-6.025,CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C
-3.68,CCSC(=O)N(CC(C)C)CC(C)C
-0.45,CSC
-5.27,c1ccc2c(c1)[nH]c1ccccc12
-4.678999999999999,Cc1cccc2c(C)cccc12
-4.314,COc1ccc2ccc(=O)oc2c1CC=C(C)C
-6.29,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl
-4.08,c1ccc(Cc2ccccc2)cc1
0.32,NC(N)=S
-4.1,CSc1nc(NC(C)C)nc(NC(C)C)n1
-1.3,c1ccc2ncccc2c1
-2.55,CC(C)C
-4.23,CCOP(=S)(OCC)SCCSCC
-0.09,CCOCC
-2.07,Cc1cccc2sc3nncn3c12
-4.11,CCOP(=S)(OCC)SCSCC
-3.785,CCN(CC)c1nc(Cl)nc(NC(C)C)n1
-3.15,CCNc1nc(Cl)nc(NC(C)(C)C#N)n1
-3.955,CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O
-4.8,CC12CC1(C)C(=O)N(c1cc(Cl)cc(Cl)c1)C2=O
-2.12,Nc1ncnc2nc[nH]c12
-3.499,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
-3.39,C=C(Cl)CSC(=S)N(CC)CC
-2.23,CCC1(CC)C(=O)NC(=O)N(C)C1=O
-2.766,CC(C)C1(C(C)C)C(=O)NC(=O)NC1=O
-2.337,CCC1(c2ccccc2)CCC(=O)NC1=O
-4.71,CCCCC(=O)OC1(C(=O)CO)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C
-8.334,CCCCCCCCCCCCCCCCCCCCCCCCCC
-1.52,CC(C)CCOC=O
-5.233,CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc21
-7.28,Clc1cccc(-c2cccc(Cl)c2Cl)c1Cl
-3.324,CCN1c2ccccc2N(C)C(=O)c2cccnc21
-4.35,Brc1cccc2ccccc12
-1.22,Cc1ncc([N+](=O)[O-])n1CCO
-3.81,CCCCCCBr
-3.01,CCCCCCCCCO
-0.1,O=Cc1ccco1
-0.89,ClCBr
-3.43,CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C12F
-0.7,CCC(O)C(C)C
-4.873,CN(C(=O)COc1nc2ccccc2s1)c1ccccc1
-5.382000000000001,CCOP(=S)(OCC)Oc1ccc2oc(=O)c(Cl)c(C)c2c1
-4.29,Cc1cc(C)c2ccccc2c1
-3.42,CCOC1Oc2ccc(OS(C)(=O)=O)cc2C1(C)C
-1.3,CC(C)C(=O)C(C)C
-6.08,CCCCCC1CCCC1
-0.39,CCCOC
-0.24,COC(C)(C)C
-4.571000000000001,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12
-1.85,CC12CCC(C1)C(C)(C)C2=O
-6.35,CCCCCCCCCCCCCCCO
-1.995,COP(=S)(OC)SCC(=O)N(C)C=O
1.12,OCC(O)CO
0.106,CNC(=O)ON=C(SC)C(=O)N(C)C
-3.6,c1ccc2ccccc2c1
-1.08,CCCCC(C)(C)O
-1.87,CCCCCC(=O)OC
-2.29,CCCI
-7.43,Clc1ccc(-c2c(Cl)ccc(Cl)c2Cl)c(Cl)c1
-11.6,Clc1c(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl
-4.71,CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2)C(C)C
-5.931,O=C1C(O)=C(C2CCC(c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21
-2.7,Nc1ccc(-c2ccc(N)cc2)cc1
-4.8,CC(C)C(C)C(C)C
-2.09,CCCCCCC(C)O
-4.114,CCN1c2ncccc2C(=O)N(C)c2ccc(Cl)nc21
-2.016,C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O
-2.266,O=c1[nH]cnc2[nH]ncc12
-0.14,CCC(=O)OC
-4.86,CCN(CC)C(=S)SSC(=S)N(CC)CC
-2.0,CC(Cl)(Cl)Cl
-2.593,CC(C)=CCC1(C(C)C)C(=O)NC(=O)NC1=O
-0.72,CCCOC(C)=O
-2.9,O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21
0.57,C=CC=O
-2.73,C=C(C)CC
-4.755,CCOP(=S)(OCC)SCSC(C)(C)C
-5.46,O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1
-1.75,CCCOC(=O)CCC
-2.68,CCC(Br)(CC)C(=O)NC(N)=O
-1.08,C=CC
-7.92,Clc1c(Cl)c(Cl)c(-c2ccccc2)c(Cl)c1Cl
-1.17,BrCBr
-0.85,CCCCC=O
-1.17,ClC(Cl)Cl
-3.55,CCC(C)(C)C
-0.63,ClCCl
0.46,COC(C)=O
-3.05,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O
-0.04,CCOC(C)=O
-0.36,CCC(C)(O)CC
-6.301,CCCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O
-1.41,CC(C)Cl
-4.1,CCCCCCCCCC(=O)OCC
-3.53,CCCCN(CC)C(=O)SCCC
-1.36,CC
-4.53,CC(C)OC(=O)C(O)(c1ccc(Cl)cc1)c1cccc(Cl)c1
-7.21,Clc1cc(Cl)c(-c2cccc(Cl)c2Cl)cc1Cl
-2.468,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
0.523,CCN(CC)C(=O)C(Cl)=CCOP(=O)(OC)OC
-5.259,O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl
-0.66,CCOC(=O)CC
-3.37,OC(Cn1cncn1)(c1ccc(F)cc1)c1ccccc1F
-4.26,C=C(C)C1CC=C(C)CC1
-3.69,CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2=O
-1.72,CCCCCC(C)(C)O
0.52,CCC(C)=O
-0.972,Nc1nc(=O)[nH]cc1F
-7.92,Clc1ccc(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1
-2.96,CCCCI
-3.931,O=C1NC(=O)C2C3C(C(O)(c4ccccc4)c4ccccn4)=CC(C3=C(c3ccccc3)c3ccccn3)C12
-0.72,CC(=O)C(C)(C)C
-3.66,C#CCCCCCC
-4.88,Clc1cccc(-c2ccccc2)c1
-2.273,O=c1ccnc(S)[nH]1
-6.89,COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1
-4.907,CCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O
-4.43,CC(C)Nc1nc(Cl)nc(NC(C)C)n1
-3.796,O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1
-4.0,CCNc1nc(NC(C)(C)C)nc(SC)n1
-2.54,Oc1cccc2ncccc12
-3.12,O=C(c1ccccc1)c1ccccc1
-0.6,CCS
-1.1,CC(C)OC(C)C
-2.22,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-]
-2.1,C1=CCCC1
-4.173,CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12
0.51,CCc1ccccn1
-1.34,CCSCC
0.32,C/C=C/C=O
-2.68,C=CCCC
-4.3,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C
-2.24,CCCCc1c(C)nc(N(C)C)nc1O
-4.53,CCCCCCC
-2.15,CC(C)CNC(=O)N1CCNC1=O
-2.61,O=C1NC(=O)c2ccccc21
-6.14,Clc1ccc(-c2c(Cl)cccc2Cl)cc1
-1.52,CCCC(C)(C)CO
-0.02,NC(=O)CCl
-1.3,Cl/C=C\Cl
-2.16,Oc1ccc2ncccc2c1
-5.85,Cc1cccc2c1ccc1ccccc12
-1.92,CC(=O)OCCC(C)C
-5.37,CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
-2.22,Oc1cccc2ccccc12
-2.943,COC1=CC2OC3C=CC(O)=CC3C(=O)C2C(O)=C1
-2.73,CCCCCCl
-0.49,CCCC(C)(C)O
0.45,Cc1cccc(C)n1
-5.19,COC(C)(C)CCCC(C)CC=CC(C)=CC(=O)OC(C)C
1.11,CC(=O)N(C)C
-1.14,CC(C)CCCO
-0.8,CC(C)CC(C)O
-2.58,CCCCC(=O)CCCC
-3.8,Cc1cc(S(=O)(=O)c2ccccc2)ccc1NS(=O)(=O)C(F)(F)F
0.0,CCCCO
-2.33,C=C(C)C
-4.74,CC(C)CC(C)(C)C
-0.41,OCC1OC(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O
-2.676,CSc1nc(N(C)C)nc(N(C)C)n1
-5.21,Clc1cccc(Cl)c1-c1ccccc1
0.06,OCC(O)C(O)C(O)C(O)CO
-1.947,Oc1ncc2nccnc2n1
-1.47,CCCCl
-1.96,CC12CCC(CC1=O)C2(C)C
-1.3,CCCCCC=O
-7.68,Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1
-2.0,O=[N+]([O-])C(Cl)(Cl)Cl
0.009,NNC(=O)c1ccncc1
-1.92,Nc1cccc2ccccc12
-4.16,COc1ccc(Oc2ccc(NC(=O)N(C)C)cc2)cc1
-4.36,CC(C)C(C)(C)C
0.7,OCC(O)C(O)CO
-2.28,COP(=O)(OC)OC(Br)C(Cl)(Cl)Br
-0.8,CCCCC(C)=O
-3.3,CCCCCCCCC(C)=O
-1.91,BrC(Br)Br
-5.886,CCCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O
0.85,CCOC(N)=O
0.62,CCCO
-2.8,CNC(=O)Oc1cccc2c1OC(C)(C)C2
-1.62,ClCCCCl
-2.68,NS(=O)(=O)c1cc2c(cc1Cl)NC(C(Cl)Cl)NS2(=O)=O
-0.85,C=COCC
-1.04,c1ccc2c(c1)CCN2
-6.56,Clc1ccc(-c2ccc(Cl)cc2)cc1
-1.63,O=Cc1ccc2c(c1)OCO2
-4.955,CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O
-4.38,OC(c1ccc(Cl)cc1)(c1cncnc1)c1ccccc1Cl
-1.4580000000000002,Cc1c[nH]c(=O)nc1N
-2.63,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
-1.54,ClC(Cl)Br
-9.018,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56
-5.67,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl
-4.15,CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C
-1.3,CCCC(=O)CCC
0.32,CC=CC=O
